x,y,apple,barracuda
7,35,0.9623906611001649,1.0376093388998342
7,36,0.9840512155519469,1.015948784448054
7,37,1.0032725895149053,0.9967274104850956
7,38,1.0195810183906653,0.980418981609334
7,39,1.0309026614556696,0.9690973385443302
7,40,1.0353537060432219,0.9646462939567771
7,41,1.0313279494365366,0.9686720505634625
7,42,1.0185150225162192,0.98148497748378
7,43,0.9951885470115109,1.0048114529884877
7,44,0.9610197435122432,1.0389802564877557
7,45,0.9173633948225695,1.0826366051774308
7,46,0.8646154562912303,1.1353845437087697
7,47,0.8046513704477981,1.1953486295522016
7,48,0.7405841343373545,1.2594158656626449
7,49,0.675973136916924,1.3240268630830758
8,0,0.8127772875099238,1.1872227124900747
8,1,0.8120070127962903,1.1879929872037078
8,2,0.8103169907409347,1.1896830092590642
8,3,0.8066248079176261,1.1933751920823727
8,4,0.8029193733615154,1.197080626638483
8,5,0.7991140996412469,1.2008859003587524
8,6,0.7971377219519921,1.202862278048007
8,7,0.7966005138205355,1.2033994861794617
8,8,0.7980207013722436,1.2019792986277547
8,9,0.8018495578669714,1.1981504421330291
8,10,0.8084755083118911,1.1915244916881076
8,11,0.8169163778538622,1.183083622146138
8,12,0.8276278028274996,1.172372197172498
8,13,0.8407663883311287,1.1592336116688704
8,14,0.8550418500849601,1.144958149915038
8,15,0.8704137875032149,1.1295862124967844
8,16,0.8869675691160128,1.113032430883988
8,17,0.9037440454026394,1.096255954597361
8,18,0.9195105537921087,1.0804894462078907
8,19,0.9336612757170863,1.0663387242829137
8,20,0.9447616159850596,1.0552383840149393
8,21,0.9518503907760203,1.0481496092239788
8,22,0.9542212503821714,1.0457787496178286
8,23,0.9515444607249997,1.048455539274999
8,24,0.9443343853643744,1.0556656146356254
8,25,0.9338969771511318,1.0661030228488673
8,26,0.9223775046205563,1.0776224953794422
8,27,0.9104082336582251,1.0895917663417745
8,28,0.9013428074079806,1.098657192592018
8,29,0.8964034089378048,1.1035965910621952
8,30,0.8971987717545674,1.102801228245432
8,31,0.9041518773704235,1.095848122629575
8,32,0.9161925176356538,1.083807482364345
8,33,0.9320805609062994,1.0679194390937008
8,34,0.9519839453213025,1.0480160546786967
8,35,0.9726179836800715,1.0273820163199283
8,36,0.993217070838543,1.0067829291614565
8,37,1.011170636258137,0.9888293637418623
8,38,1.0261344922269364,0.9738655077730636
8,39,1.0362028638614222,0.9637971361385786
8,40,1.039661950002677,0.9603380499973224
8,41,1.0349922544470136,0.965007745552986
8,42,1.02164224955613,0.9783577504438681
8,43,0.9977481696177048,1.0022518303822943
8,44,0.962756294630402,1.037243705369598
8,45,0.9177563632284171,1.0822436367715818
8,46,0.8631036149060676,1.136896385093931
8,47,0.8003988497308596,1.199601150269141
8,48,0.7328045091226177,1.267195490877382
8,49,0.6640020411116603,1.3359979588883393
9,0,0.8074105327807863,1.1925894672192134
9,1,0.8078549988974828,1.1921450011025165
9,2,0.8076378017840975,1.1923621982159012
9,3,0.8058388851724377,1.1941611148275628
9,4,0.8043151812216457,1.1956848187783526
9,5,0.8028759619982606,1.1971240380017378
9,6,0.8032602401335218,1.1967397598664773
9,7,0.8049800796745112,1.1950199203254877
9,8,0.8084252055782244,1.191574794421774
9,9,0.8138685535191161,1.186131446480883
9,10,0.8214692675535332,1.1785307324464651
9,11,0.8302948742781362,1.1697051257218636
9,12,0.8407758631663123,1.159224136833688
9,13,0.8530881736432696,1.1469118263567282
9,14,0.8661411274776103,1.133858872522389
9,15,0.8798557818039694,1.120144218196029
9,16,0.8945651437248208,1.1054348562751795
9,17,0.9094556643296403,1.0905443356703595
9,18,0.923426300647883,1.0765736993521173
9,19,0.9359854599579676,1.0640145400420318
9,20,0.9457788879828248,1.054221112017175
9,21,0.9518663286921687,1.0481336713078315
9,22,0.9535682097387215,1.0464317902612776
9,23,0.9506828309181286,1.049317169081872
9,24,0.9435256360693405,1.0564743639306575
9,25,0.9334435037188781,1.0665564962811223
9,26,0.9226927670018891,1.0773072329981095
9,27,0.9117569091238431,1.0882430908761556
9,28,0.9038895995461096,1.0961104004538902
9,29,0.9001867539341631,1.099813246065835
9,30,0.9022783984786504,1.0977216015213482
9,31,0.9102784648423401,1.0897215351576568
9,32,0.9232282454585006,1.076771754541499
9,33,0.9397656563470166,1.0602343436529826
9,34,0.959822283502827,1.0401777164971726
9,35,0.9802794236346388,1.0197205763653607
9,36,1.0004280904367366,0.9995719095632626
